datetime,value
"2005-06-07 07:00:00",3562279127
"2005-06-07 07:05:00",3710215571
"2005-06-07 07:10:00",3877469703
"2005-06-07 07:15:00",3876354871
"2005-06-07 07:20:00",4582542581
"2005-06-07 07:25:00",5016336869
"2005-06-07 07:30:00",5202513642
"2005-06-07 07:35:00",5410604985
"2005-06-07 07:40:00",5408071320
"2005-06-07 07:45:00",5598048880
"2005-06-07 07:50:00",5268183974
"2005-06-07 07:55:00",5205965910
"2005-06-07 08:00:00",5554284558
"2005-06-07 08:05:00",6071804752
"2005-06-07 08:10:00",6533409311
"2005-06-07 08:15:00",6432612096
"2005-06-07 08:20:00",6422634291
"2005-06-07 08:25:00",6413343245
"2005-06-07 08:30:00",6438472853
"2005-06-07 08:35:00",6593321117
"2005-06-07 08:40:00",6386798311
"2005-06-07 08:45:00",6402829429
"2005-06-07 08:50:00",6448640206
"2005-06-07 08:55:00",6758012799
"2005-06-07 09:00:00",6897537181
"2005-06-07 09:05:00",6625683956
"2005-06-07 09:10:00",6786593033
"2005-06-07 09:15:00",6741090851
"2005-06-07 09:20:00",6857892154
"2005-06-07 09:25:00",6885633911
"2005-06-07 09:30:00",7036186201
"2005-06-07 09:35:00",7182820092
"2005-06-07 09:40:00",6897783063
"2005-06-07 09:45:00",6802926206
"2005-06-07 09:50:00",6856304069
"2005-06-07 09:55:00",6963587768
"2005-06-07 10:00:00",7283565230
"2005-06-07 10:05:00",7294355973
"2005-06-07 10:10:00",7277773691
"2005-06-07 10:15:00",7327652118
"2005-06-07 10:20:00",7411935065
"2005-06-07 10:25:00",7559621824
"2005-06-07 10:30:00",7464144357
"2005-06-07 10:35:00",7556335967
"2005-06-07 10:40:00",7531158925
"2005-06-07 10:45:00",7451588318
"2005-06-07 10:50:00",7251552599
"2005-06-07 10:55:00",7387311025
"2005-06-07 11:00:00",7534902212
"2005-06-07 11:05:00",7669462738
"2005-06-07 11:10:00",7806347806
"2005-06-07 11:15:00",7633844064
